COUNTY_ID,COUNTY,TOWN_ID,TOWN,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,博士人口數,碩士人口數,大學院校人口數,專科人口數,高中職人口數,國中初職人口數,小學人口數,自修人口數,不識字人口數,資料時間
"64000","高雄市","64000160","大社區",124,1525,7922,3168,10658,3693,3028,160,621,"110Y"
"64000","高雄市","64000170","仁武區",381,5012,23692,9826,27410,7840,7344,130,686,"110Y"
"64000","高雄市","64000180","鳥松區",497,3644,12551,4740,11900,3340,3485,45,370,"110Y"
"64000","高雄市","64000190","岡山區",395,5158,23539,10154,28259,8265,6523,154,1428,"110Y"
"64000","高雄市","64000200","橋頭區",224,2603,10293,3998,11439,3128,3481,41,731,"110Y"
"64000","高雄市","64000210","燕巢區",68,1024,5986,2467,8896,4275,3179,51,725,"110Y"
"64000","高雄市","64000220","田寮區",15,136,848,362,1894,1587,1277,10,305,"110Y"
"64000","高雄市","64000230","阿蓮區",77,1135,5844,2345,7650,4040,2983,365,551,"110Y"
"64000","高雄市","64000240","路竹區",173,2369,11964,5424,13101,4888,5517,59,1287,"110Y"
"64000","高雄市","64000250","湖內區",105,1208,6549,3066,7888,4331,2851,61,559,"110Y"
"64000","高雄市","64000260","茄萣區",60,947,5934,2039,7257,5881,3906,243,709,"110Y"
"64000","高雄市","64000270","永安區",38,518,3013,1221,3993,1944,1294,23,268,"110Y"
"64000","高雄市","64000280","彌陀區",21,572,3514,1539,5819,2252,2092,92,877,"110Y"
"64000","高雄市","64000290","梓官區",88,1385,7285,3148,11050,3658,4179,34,989,"110Y"
"64000","高雄市","64000300","旗山區",120,1252,6381,2955,11046,4758,4643,63,554,"110Y"
"64000","高雄市","64000310","美濃區",93,1254,6682,3981,13654,4158,5111,10,203,"110Y"
"64000","高雄市","64000320","六龜區",19,195,1507,747,3825,2499,2283,24,143,"110Y"
"64000","高雄市","64000330","甲仙區",11,98,735,343,1727,1258,1109,32,56,"110Y"
"64000","高雄市","64000340","杉林區",14,191,1340,725,3462,2735,1870,47,120,"110Y"
"64000","高雄市","64000350","內門區",19,197,1742,728,4148,3350,2512,15,136,"110Y"
"64000","高雄市","64000360","茂林區",3,40,356,184,589,229,212,0,3,"110Y"
"64000","高雄市","64000370","桃源區",9,98,773,285,1274,596,524,3,9,"110Y"
"64000","高雄市","64000380","那瑪夏區",2,41,260,108,370,177,161,6,3,"110Y"
"10002","宜蘭縣","10002010","宜蘭市",554,6430,23300,10868,22292,10536,7313,174,579,"110Y"
"10002","宜蘭縣","10002020","羅東鎮",303,4035,16617,8336,17383,7439,5036,136,326,"110Y"
"10002","宜蘭縣","10002030","蘇澳鎮",72,1154,6910,3287,10198,6702,5336,407,545,"110Y"
